address,latitude,longitude
"Apartado 12, Runa
2566-909 RUNA
Santa Maria e São Miguel, Torres Vedras, Lisboa",GPS: 39.000000,"-8.300000
EC RUNA"
"Apartado 12, A dos Cunhados
2564-908 A DOS CUNHADOS
A dos Cunhados, Torres Vedras, Lisboa",GPS: 39.101749,"-9.347861
LOJA CTT A DOS CUNHADOS"
"Apartado 12, Torres Vedras
2564-909 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 12, Runa
2566-909 RUNA
Santa Maria e São Miguel, Torres Vedras, Lisboa",GPS: 39.000000,"-8.300000
LOJA CTT RUNA"
"Apartado 12, A dos Cunhados
2564-908 A DOS CUNHADOS
A dos Cunhados, Torres Vedras, Lisboa",GPS: 39.101749,"-9.347861
PC A DOS CUNHADOS"
"Apartado 12, A dos Cunhados
2564-906 A DOS CUNHADOS
Silveira, Torres Vedras, Lisboa",GPS: 39.101749,"-9.347861
PC SANTA CRUZ"
"Apartado 120, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 120, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
,,
"Apartado 121, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
,,
"Apartado 121, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 122, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 122, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
